RDB$RELATION_NAME	FIELD_NAME	FIELD_TYPE	FIELD_CHARSET	FIELD_COLLATION	FIELD_DEFAULT	FIELD_CHECK	FIELD_DESCRIPTION	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_FRM_04               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_MSGPOLI02_CONCONCILIAR    	MSGPOLI02_DEBE                 	DOUBLE	null	null	DEFAULT 0.00	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_PORCENTAJE           	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI02_SINCONCILIAR    	MSGPOLI02_ANO                  	SMALLINT	null	null	null	null	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_EGRESOS      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI09_FILTRO          	SICCONT02_DESCRI_INGR          	VARCHAR(100)	ASCII                          	null	null	null	null	
CBO_PYMINVE10_PARTES           	PYMINVE10_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
GRID_PYMINVE10_PYMINVE30_PROVE 	PYMINVE20_REDUCCION            	INTEGER	null	null	null	null	null	
GRID_PYMINVE10_PYMVENT10_REG   	RELA_PYMINVE30_NOSERIE         	BIGINT	null	null	null	null	null	
CBO_PYMINVE10                  	RELA_PYMINVE30_NOSERIE         	BIGINT	null	null	null	null	null	
GRID_PYMVENT21_PV_DEVOL        	PYMVENT21_PORCENTAJE           	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_ON2REGI04                 	ID_SOCUSUA02                   	BIGINT	null	null	null	null	null	
GRID_SECPLAN02                 	SECPLAN02_SISAC                	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
GRID_ON2REGI10                 	SUCURSAL                       	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_PYMINVE30_CARGARAPIDA     	COLOR                          	CHAR(0) 	ASCII                          	null	null	null	null	
GRID_PYMINVE26                 	MODELO                         	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_PYMINGR02                 	PYMINGR02_DESGLOSE             	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
SECPLAN02_DET_PLANES           	SECPLAN02_HDIGITAL             	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_SCEXMLS11_ERRORES         	SCEXMLS11_EXTRANJERO           	CHAR(1) 	ASCII                          	ASCII                          	null	null	null	
GRID_PYMINGR06                 	PYMINGR06_PARCIAL              	DOUBLE	null	null	null	null	null	
REP_PYMLOGI01_REFERENCIAS      	ORIGEN_ESTADO                  	VARCHAR(200)	ASCII                          	ASCII                          	null	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	ID_SOCSYST10                   	BIGINT	null	null	null	null	null	
SCEXMLS40_CAB_POLIZAS          	SCEXMLS40_FECHA                	DATE	null	null	null	null	Campo Tipo fecha que no acepta nulos.	
REP_PYMINVE25_SOLICITUD        	STOCKMIN                       	DOUBLE	null	null	null	null	null	
VR_SOCUSUA06_SOCUSUA03         	SOCUSUA30_APE_MADRE            	VARCHAR(200)	ASCII                          	ASCII                          	null	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_BTO_REP              	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VW_PYMVENT01_PYMVENT02         	RELA_PYMINVE40_RESER_NOPAGO    	BIGINT	null	null	null	null	null	
REP_ON2CFDS10                  	SOCSYST01_NROCERTIFICADO       	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
SOCSYST01_CAB_CLIENTES         	SOCSYST01_CFDI_USR             	VARCHAR(100)	ASCII                          	ASCII                          	null	null	null	
ZTMPINVE10_PRODUCTOS           	ZTMPINVE10_PLISTA2             	DOUBLE	null	null	null	null	null	
ON2REGI10_CAB_CLIENTES         	ON2REGI10_CONFIRMADO           	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_MAXDESC              	DOUBLE	null	null	DEFAULT 0.00	null	null	
