RDB$INDEX_NAME	RDB$FIELD_NAME	RDB$RELATION_NAME	
PKY_PYMVENT16                  	ID_PYMVENT16                   	PYMVENT16_CAB_ENTREGA          	
PKY_PYMVENT15                  	ID_PYMVENT15                   	PYMVENT15_CAB_APARTADOS        	
PKY_PYMINVE38                  	ID_PYMINVE38                   	PYMINVE38_DEP_CANCELADOS       	
PKY_SRHNOMI05                  	ID_SRHNOMI05                   	SRHNOMI05_DET_INCAPACIDADES    	
PKY_SRHMAIN14                  	ID_SRHMAIN14                   	SRHMAIN14_DET_HORASEXTRAS      	
PKY_SRHMAIN13                  	ID_SRHMAIN13                   	SRHMAIN13_DET_INCAPACIDADES    	
PKY_ON2CFDS19                  	ID_ON2CFDS19                   	ON2CFDS19_DEP_TRANSPORTE       	
PKY_SECPAGO05                  	ID_SECPAGO05                   	SECPAGO05_CAB_CORTE            	
PKY_SECPAGO03                  	ID_SECPAGO03                   	SECPAGO03_DET_TELEFONOS        	
PKY_SECPAGO02                  	ID_SECPAGO02                   	SECPAGO02_DET_PAGOS            	
PKY_SECPAGO01                  	ID_SECPAGO01                   	SECPAGO01_CAB_CLIENTES         	
PKY_PYMINGR26                  	ID_PYMINGR26                   	PYMINGR26_DET_CONCEPTOS        	
PKY_PYMINGR25                  	ID_PYMINGR25                   	PYMINGR25_CAB_TABULADOR        	
PKY_MEDCTAG11                  	ID_MEDCTAG11                   	MEDCTAG11_DET_PAQUETES         	
PKY_MEDCTAG10                  	ID_MEDCTAG10                   	MEDCTAG10_CAB_PAQUETES         	
PKY_PYMVENT29                  	ID_PYMVENT29                   	PYMVENT29_MOV_UPLOADS          	
PKY_PYMINVE27                  	ID_PYMINVE27                   	PYMINVE27_DET_RECEPCION        	
PKY_MEDCTAG02                  	ID_MEDCTAG02                   	MEDCTAG02_DET_CUENTADEGASTOS   	
PKY_MEDCTAG01                  	ID_MEDCTAG01                   	MEDCTAG01_CAB_CUENTADEGASTOS   	
PKY_PYMINVE26                  	ID_PYMINVE26                   	PYMINVE26_DET_PEDIDOS          	
PKY_PYMINVE25                  	ID_PYMINVE25                   	PYMINVE25_CAB_PEDIDOS          	
PKY_SOCSYST08                  	ID_SOCSYST08                   	SOCSYST08_DET_REGFISCALES      	
PKY_MSGPOLI42                  	ID_MSGPOLI42                   	MSGPOLI42_DET_EGRESOS          	
PKY_MSGPOLI41                  	ID_MSGPOLI41                   	MSGPOLI41_DET_INGRESOS         	
PKY_SRHMAIN12                  	ID_SRHMAIN12                   	SRHMAIN12_DET_EGRESOS          	
PKY_PYMINVE33                  	ID_PYMINVE33                   	PYMINVE33_DET_INVENTARIO       	
PKY_SOCSYST20                  	ID_SOCSYST20                   	SOCSYST20_DET_FACTELECT        	
PKY_PYMVENT23                  	ID_PYMVENT23                   	PYMVENT23_MOV_CUENTAS          	
PKY_PYMINVE15                  	ID_PYMINVE15                   	PYMINVE15_DET_PRECIOS          	
PKY_PYMVENT22                  	ID_PYMVENT22                   	PYMVENT22_MOV_CAMBIOS          	
PKY_SCEXMLS27                  	ID_SCEXMLS27                   	SCEXMLS27_DET_AJUSTES          	
PKY_PYMVENT21                  	ID_PYMVENT21                   	PYMVENT21_DET_TICKETS          	
PKY_SCEXMLS40                  	ID_SCEXMLS40                   	SCEXMLS40_CAB_POLIZAS          	
PKY_SRHMAIN11                  	ID_SRHMAIN11                   	SRHMAIN11_DET_INGRESOS         	
PKY_MSGPOLI11                  	ID_MSGPOLI11                   	MSGPOLI11_DET_POLIZAS          	
PKY_SOCSYST19                  	ID_SOCSYST19                   	SOCSYST19_DET_ADDENDAS         	
PKY_PYMVENT20                  	ID_PYMVENT20                   	PYMVENT20_CAB_TICKETS          	
PKY_MSGPOLI24                  	ID_MSGPOLI24                   	MSGPOLI24_ARB_ORGANIZADOR      	
PKY_MSGPOLI23                  	ID_MSGPOLI23                   	MSGPOLI23_DET_BITACORA         	
PKY_MSGPOLI22                  	ID_MSGPOLI22                   	MSGPOLI22_DET_EGRESOS          	
PKY_MSGPOLI21                  	ID_MSGPOLI21                   	MSGPOLI21_DET_INGRESOS         	
PKY_MSGPOLI20                  	ID_MSGPOLI20                   	MSGPOLI20_CAB_IMPUESTOS        	
PKY_SICCONT73_MOV_IMPUESTOS    	ID_SICCONT73                   	SICCONT73_MOV_IMPUESTOS        	
PKY_SICCONT75                  	ID_SICCONT75                   	SICCONT75_MOV_SICEGRE01        	
PKY_SICCONT74                  	ID_SICCONT74                   	SICCONT74_MOV_SICINGR01        	
PKY_MSGPOLI10                  	ID_MSGPOLI10                   	MSGPOLI10_MOV_CONCILIADAS      	
PKY_MSGPOLI09                  	ID_MSGPOLI09                   	MSGPOLI09_CAB_IMPUESTOS        	
PKY_PYMVENT03                  	ID_PYMVENT03                   	PYMVENT03_DET_CUENTAS          	
PKY_MSGPOLI08                  	ID_MSGPOLI08                   	MSGPOLI08_MOV_FACTURAS         	
PKY_SICEGRE07                  	ID_SICEGRE07                   	SICEGRE07_MOV_REFERENTES       	
PKY_SICCONT68                  	ID_SICCONT68                   	SICCONT68_DEP_SERVICIOS        	
PKY_MSGPOLI07                  	ID_MSGPOLI07                   	MSGPOLI07_DET_FACTURAS         	
PKY_SRHRELO01                  	ID_SRHRELO01                   	SRHRELO01_MOV_EMPLEADOS        	
PKY_MSGPOLI06                  	ID_MSGPOLI06                   	MSGPOLI06_MOV_CUENTAS          	
PKY_MSGPOLI05                  	ID_MSGPOLI05                   	MSGPOLI05_MOV_CONCILIACION     	
PKY_MSGPOLI04                  	ID_MSGPOLI04                   	MSGPOLI04_CAB_BANCOS           	
PKY_PYMVENT11                  	ID_PYMVENT11                   	PYMVENT11_DET_RENDICIONES      	
PKY_ZTMPPOLI04                 	ZTMPPOLI04_USER                	ZTMPPOLI04_BALANCE             	
PKY_ZTMPPOLI04                 	ID_SICCONT02                   	ZTMPPOLI04_BALANCE             	
PKY_SICCONT71                  	ID_SICCONT71                   	SICCONT71_MOV_ACTIVO           	
PKY_SICCONT66                  	ID_SICCONT66                   	SICCONT66_DEP_ACTIVOS          	
PKY_SOCSYST24                  	ID_SOCSYST24                   	SOCSYST24_CONTADORES_RESERVA   	
PKY_SOCUTIL05                  	ID_SOCUTIL05                   	SOCUTIL05_MOV_ERRORES          	
PKY_SOCSYST30                  	ID_SOCSYST30                   	SOCSYST30_MOV_IDIOMAS          	
PKY_SICCONT72                  	ID_SICCONT72                   	SICCONT72_MOV_EMPRESAS         	
PKY_SCEXMLS10                  	ID_SCEXMLS10                   	SCEXMLS10_CAB_MIGRACION        	
PKY_ZTMPPOLI03                 	ZTMPPOLI03_USER                	ZTMPPOLI03_BALANZA             	
PKY_ZTMPPOLI03                 	ID_SICCONT02                   	ZTMPPOLI03_BALANZA             	
PKY_TMPCONT01                  	ID_TMPCONT01                   	ZTMPCONT01_IMPORTACION         	
PKY_MSGPOLI02                  	ID_MSGPOLI02                   	MSGPOLI02_DET_POLIZAS          	
PKY_MSGPOLI01                  	ID_MSGPOLI01                   	MSGPOLI01_CAB_POLIZAS          	
PKY_SOCSYST07                  	ID_SOCSYST07                   	SOCSYST07_DET_BARCODE          	
PKY_SICEMPR02                  	ID_SICEMPR02                   	SICEMPR02_DET_IMPUESTOS        	
PKY_SICINGR03                  	ID_SICINGR03                   	SICINGR03_DET_CUENTAS          	
PKY_MSGPOLI03                  	ID_MSGPOLI03                   	MSGPOLI03_MOV_SALDOS           	
PKY_PYMINGR20                  	ID_PYMINGR20                   	PYMINGR20_MOV_UPLOADS          	
PKY_SOCUSUA42                  	ID_SOCUSUA42                   	SOCUSUA42_TBL_CODPOSTALES      	
PKY_SOCWFLO11                  	ID_SOCWFLO11                   	SOCWFLO11_DET_WORKFLOW         	
PKY_PYMINGR36                  	ID_PYMINGR36                   	PYMINGR36_DET_FACTURAS         	
PKY_SOCWFLO10                  	ID_SOCWFLO10                   	SOCWFLO10_CAB_WORKFLOW         	
PKY_PYMINGR35                  	ID_PYMINGR35                   	PYMINGR35_CAB_SALDOS           	
PKY_PYMINGR11                  	ID_PYMINGR11                   	PYMINGR11_DET_IMPUESTOS        	
PKY_SOCSYST22                  	ID_SOCSYST22                   	SOCSYST22_TBL_DOCNRO_CANCEL    	
PKY_PYMINVE35                  	ID_PYMINVE35                   	PYMINVE35_DEP_MTC              	
PKY_SOCSYST17                  	ID_SOCSYST17                   	SOCSYST17_TBL_CONFIGURACION    	
PKY_PYMINGR10                  	ID_PYMINGR10                   	PYMINGR10_CAB_CONCEPTOS        	
PKY_SOCSYST23                  	ID_SOCSYST23                   	SOCSYST23_CAB_DISPARODETAREAS  	
PKY_SOCSYST13                  	ID_SOCSYST13                   	SOCSYST13_ARB_REPORTES         	
PKY_PYMINGR06                  	ID_PYMINGR06                   	PYMINGR06_DET_ITEMS            	
PKY_SICCONT63                  	ID_SICCONT63                   	SICCONT63_DET_SERVICIOS        	
PKY_SICGEST30                  	ID_SICGEST30                   	SICGEST30_ARB_BIENES           	
PKY_PYMINGR05                  	ID_PYMINGR05                   	PYMINGR05_MOV_IMPUESTOS        	
PKY_SICCONT62                  	ID_SICCONT62                   	SICCONT62_DET_BIENES           	
PKY_SOCSYST31                  	ID_SOCSYST31                   	SOCSYST31_MOV_OPENHISTORY      	
PKY_PYMINGR04                  	ID_PYMINGR04                   	PYMINGR04_DET_ENTIDADES        	
PKY_SOCSYST21                  	ID_SOCSYST21                   	SOCSYST21_MOV_CONTADORES_EMP   	
PKY_SICGEST20                  	ID_SICGEST20                   	SICGEST20_ARB_SERVICIOS        	
PKY_PYMINGR03                  	ID_PYMINGR03                   	PYMINGR03_DET_REFERENCIAS      	
PKY_SOCUTIL03                  	ID_SOCUTIL03                   	SOCUTIL03_MOV_IMPRESIONES      	
PKY_SICEGRE02                  	ID_SICEGRE02                   	SICEGRE02_DET_REFERENTES       	
PKY_SOCUTIL04                  	ID_SOCUTIL04                   	SOCUTIL04_TBL_DUAL             	
PKY_PYMINGR02                  	ID_PYMINGR02                   	PYMINGR02_DET_CONCEPTOS        	
